Hostname,Last Seen,First Seen,Platform,OS Version,OS Build,OS Product Name,Kernel Version,Model,Manufacturer,Type,Chassis,Last Reboot,OU,Site,Prevention Policy,Response Policy,Sensor Update Policy,USB Device Policy,Kubernetes Admission Control Policy,Host ID,Local IP,Connection IP,Default Gateway IP,External IP,Domain,MAC Address,Connection MAC Address,Status,CPUID,Serial Number,Sensor Version,Sensor Tags,Cloud Service Provider,Cloud Service Account ID,Cloud Service Instance ID,Cloud Service Zone/Group,Kubernetes Cluster ID,Kubernetes Server Git Version,Kubernetes Server Version,RFM,Linux Sensor Mode,Deployment Type,Email,Pod ID,Pod Name,Pod Namespace,Pod Labels,Pod Annotations,Pod IP4,Pod IP6,Pod Hostname,Pod Host IP4,Pod Host IP6,Pod Service Account Name,Host Groups
CP-W6025,2023-10-04T20:01:17Z,2022-12-21T20:01:39Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-14T19:20:14Z,,,"General-Prevention-Windows-Workstation
14 Sep 23 18:25 UTC","General-Response-Windows
21 Dec 22 20:04 UTC","General-Sensor-Windows
29 Aug 23 14:32 UTC",No policy,No policy,2cfe8ffb04b94d68b01e00ff44b5437c,10.111.100.87,10.111.100.87,10.111.100.1,200.170.190.57,,b4-45-06-43-5a-e2,b4-45-06-43-5a-e2,normal,526017,229VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W3420,2023-10-04T19:57:56Z,2021-11-24T16:39:59Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-10-04T12:04:48Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:15 UTC","General-Response-Windows
30 Jun 23 19:31 UTC","General-Sensor-Windows
30 Aug 23 21:47 UTC",No policy,No policy,9664429d55b843c582bc3f760d157079,192.168.0.35,192.168.0.35,192.168.0.1,201.17.87.91,,00-d7-6d-12-de-cd,00-d7-6d-12-de-cd,normal,526017,71CPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W3308,2023-10-04T19:55:39Z,2022-11-03T15:39:38Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-28T12:36:38Z,,,"General-Prevention-Windows-Workstation
20 Sep 23 10:01 UTC","General-Response-Windows
03 Nov 22 15:41 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,7ea93d16debd451787f862b42b7420d3,192.168.15.115,192.168.15.115,192.168.15.1,177.190.196.142,,00-d7-6d-12-eb-11,00-d7-6d-12-eb-11,normal,526017,5QBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W1098,2023-10-04T19:37:40Z,2023-01-11T12:04:02Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-21T12:14:52Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:17 UTC","General-Response-Windows
11 Jan 23 12:05 UTC","General-Sensor-Windows
29 Aug 23 15:01 UTC",No policy,No policy,6614bd0617b04e839dee75ab717af0c8,10.111.140.252,10.111.100.104,10.111.100.1,200.170.190.57,,48-51-c5-7a-d9-9c,70-69-79-a7-01-4d,normal,526060,NXHQMAL00T149075F89Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-W2178,2023-10-04T19:32:30Z,2023-08-04T17:06:09Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-09-18T17:19:35Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:18 UTC","General-Response-Windows
04 Aug 23 17:07 UTC","General-Sensor-Windows
29 Aug 23 17:26 UTC",No policy,No policy,b51651550a6b480293f3e07f2026fa56,10.111.100.208,10.111.100.208,10.111.100.1,200.170.190.57,,b0-7b-25-64-b7-a8,b0-7b-25-64-b7-a8,normal,526060,553MWC3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W1044,2023-10-02T14:37:43Z,2023-02-27T16:11:43Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Aspire A515-54,Acer,Workstation,Laptop,2023-09-26T11:23:13Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:18 UTC","General-Response-Windows
27 Feb 23 17:20 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,e4c1abd5e49c49b5b00dcc407ee4164f,10.111.100.72,10.111.100.72,10.111.100.1,200.170.190.57,,70-69-79-a2-20-d1,70-69-79-a2-20-d1,normal,526060,NXHQMAL00T144009669Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-JVL-W0876,2023-10-04T19:31:02Z,2022-11-30T15:02:01Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-10-03T22:05:24Z,,,"General-Prevention-Windows-Workstation
21 Sep 23 23:23 UTC","General-Response-Windows
30 Nov 22 18:41 UTC","General-Sensor-Windows
31 Aug 23 12:17 UTC",No policy,No policy,08c3c2008f164281830c8aa9bd9815b3,10.212.100.83,192.168.1.9,192.168.1.1,138.118.29.130,,00-09-0f-fe-00-01,d8-f3-bc-6d-47-17,normal,526060,NXHQMAL00T138028469Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W0837,2023-10-04T19:37:12Z,2023-03-02T17:42:16Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Avell G1555 MUV / A62 MUV,Avell High Performance,Workstation,Laptop,2023-09-19T21:18:27Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
17 Mar 23 12:45 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,e7cbf728d91041e8a1b34ebe76747943,192.168.0.8,192.168.0.8,192.168.0.1,189.6.248.92,,3c-f0-11-45-14-e7,3c-f0-11-45-14-e7,normal,591594,Standard,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W6525,2023-10-04T19:45:30Z,2023-04-12T13:06:29Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-22T13:49:57Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
12 Apr 23 13:09 UTC","General-Sensor-Windows
30 Aug 23 11:59 UTC",No policy,No policy,4aa1b8852bb746d5878dc02a01b3df09,192.168.68.106,192.168.68.106,192.168.68.1,179.218.138.249,,00-d7-6d-5c-41-a3,00-d7-6d-5c-41-a3,normal,526017,8C9VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W6337,2023-10-04T19:48:08Z,2023-04-19T18:05:17Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-20T23:13:43Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
28 Apr 23 12:11 UTC","General-Sensor-Windows
29 Aug 23 15:02 UTC",No policy,No policy,5c2cd61ee3cc4925ad54b761a4e00d59,10.10.140.149,10.10.140.149,10.10.140.1,189.112.229.105,,00-d7-6d-5c-67-64,00-d7-6d-5c-67-64,normal,526017,299VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-W3097,2023-10-04T19:58:55Z,2023-07-14T15:48:18Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2215,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-16T07:39:48Z,,,"General-Prevention-Windows-Workstation
14 Sep 23 21:18 UTC","General-Response-Windows
14 Jul 23 15:49 UTC","General-Sensor-Windows
31 Aug 23 13:07 UTC",No policy,No policy,da49a6ea3af840bba79e086340cf51b9,10.111.100.69,10.111.100.69,10.111.100.1,200.170.190.57,,c0-25-a5-2a-a2-67,c0-25-a5-2a-a2-67,normal,526017,JZBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6576,2023-10-04T20:02:29Z,2023-04-12T18:26:58Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-13T12:40:17Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:18 UTC","General-Response-Windows
12 Apr 23 18:27 UTC","General-Sensor-Windows
29 Aug 23 14:36 UTC",No policy,No policy,8ee4266fe11c41aa81652cbe838e730d,192.168.19.115,10.10.140.177,10.10.140.1,187.72.41.41,,00-d7-6d-60-e6-4a,00-d7-6d-60-e6-4a,normal,526017,G8KXPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-M3719,2023-09-19T19:48:54Z,2023-09-19T19:46:53Z,Mac,Monterey (12),21C52,,21.2.0,"MacBookPro17,1",Apple Inc.,Workstation,Other,,,,"General-Prevention-Mac
19 Sep 23 19:49 UTC","General-Response-Mac
19 Sep 23 19:49 UTC","General-Sensor-Mac
19 Sep 23 19:49 UTC",No policy,No policy,2b8444f1a76749e3a005ce578fbf6d25,10.10.22.165,,,187.72.41.41,,b0-be-83-5e-30-b7,,normal,4294967295,C02H3697Q05D,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
LOFT-M3131,2023-10-04T20:00:48Z,2023-07-10T08:31:52Z,Mac,Ventura (13),22G120,,22.6.0,"MacBookPro18,1",Apple Inc.,Workstation,Other,,,,"General-Prevention-Mac
13 Sep 23 18:53 UTC","General-Response-Mac
10 Jul 23 08:32 UTC","General-Sensor-Mac
19 Sep 23 16:27 UTC",No policy,No policy,5485f5ca59654d49a9626aad178834e7,10.10.10.131,52.8.45.162,,213.189.167.9,,bc-d0-74-3d-36-cf,,normal,4294967295,D4090R4MKX,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
CP-CWB-W1130,2023-10-04T19:52:41Z,2023-05-02T14:43:50Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-25T21:45:51Z,,,"General-Prevention-Windows-Workstation
25 Sep 23 21:48 UTC","General-Response-Windows
25 Sep 23 21:48 UTC","General-Sensor-Windows
25 Sep 23 21:48 UTC",No policy,No policy,d28310bc9ed648289b849b1a3b5bda49,10.111.100.41,10.111.100.41,10.111.100.1,200.170.190.57,,70-69-79-a1-0c-88,70-69-79-a1-0c-88,normal,526060,NXHQMAL00T13802E9E9Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6026,2023-10-04T19:04:05Z,2023-01-11T19:27:03Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2361,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-28T12:28:51Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:18 UTC","General-Response-Windows
11 Jan 23 19:27 UTC","General-Sensor-Windows
29 Aug 23 15:25 UTC",No policy,No policy,82bf9ab2428945cc85317c139ce99e5c,192.168.31.67,192.168.31.67,192.168.31.1,189.79.203.101,,00-d7-6d-5c-33-a2,00-d7-6d-5c-33-a2,normal,526017,329VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-W3036,2023-10-03T20:15:40Z,2023-03-09T21:51:26Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.1413,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-08-30T14:31:47Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:15 UTC","General-Response-Windows
09 Mar 23 21:53 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,9165db7f66c34d4e8d803509314030be,10.111.100.92,10.111.100.92,10.111.100.1,200.170.190.57,,34-73-5a-e1-a2-a9,34-73-5a-e1-a2-a9,normal,526060,B003XF3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6076,2023-10-04T19:55:52Z,2023-02-17T16:06:07Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-10-04T05:45:25Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
17 Feb 23 16:12 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,1cd554b988e8428b99457c44df9db717,192.168.68.100,192.168.68.100,192.168.68.1,177.45.60.225,,00-d7-6d-5f-ba-bd,00-d7-6d-5f-ba-bd,normal,526017,D5KXPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
VISTA-W0091,2023-10-04T19:51:00Z,2023-06-20T17:41:10Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-10-02T11:59:19Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:20 UTC","General-Response-Windows
20 Jun 23 17:42 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,27cc26b4387f40539aa03218bc2272ce,10.10.10.132,192.168.0.236,192.168.0.1,189.34.19.6,,00-ff-78-de-4e-59,90-cc-df-41-bd-dd,normal,526060,J1LGB93,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-SPW-3186,2023-10-04T20:06:01Z,2021-11-24T21:52:19Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-28T12:02:55Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:17 UTC","General-Response-Windows
24 Nov 21 21:53 UTC","General-Sensor-Windows
29 Aug 23 15:01 UTC",No policy,No policy,a65bd30015c04319ab1d630be27751a9,10.10.140.95,10.10.140.95,10.10.140.1,191.183.36.175,,00-d7-6d-10-8d-df,00-d7-6d-10-8d-df,normal,526017,4LZFKH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W1162,2023-10-04T19:48:06Z,2023-03-01T13:27:44Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-18T12:10:10Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
01 Mar 23 13:28 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,6ae11fd1fe6641bc9a065db12fb4e09e,10.111.100.108,10.111.100.108,10.111.100.1,200.170.190.57,,70-69-79-a6-02-6e,70-69-79-a6-02-6e,normal,526060,NXHQMAL013204000259Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W0940,2023-10-04T20:06:16Z,2022-11-30T15:01:22Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.2364,Aspire A515-54,Acer,Workstation,Laptop,2023-09-07T13:33:19Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:17 UTC","General-Response-Windows
30 Nov 22 18:40 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,7f6e6f14096a4bbaa89ed2fd5beb06fc,10.111.140.52,10.111.140.52,10.111.140.1,45.230.103.59,,d8-f3-bc-6d-c9-93,d8-f3-bc-6d-c9-93,normal,526060,NXHQMAL00T138027FA9Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
rds-restore,2023-10-04T19:54:59Z,2023-01-19T01:54:32Z,Linux,Ubuntu 20.04,,,5.15.0-1045-aws,m5a.2xlarge,Amazon EC2,Server,Other,,,,"General-Prevention-Linux
04 Jul 23 15:45 UTC","General-Response-Linux
19 Jan 23 01:55 UTC","General-Sensor-Linux
03 Feb 23 00:53 UTC",No policy,No policy,a6e9d13a95d04fc188abff61489d69de,172.32.72.70,172.32.72.70,172.32.64.1,3.230.150.103,,02-1e-e1-76-7b-dd,02-1e-e1-76-7b-dd,normal,8392466,ec2aed3c-d639-8679-ed8f-c0f17af23463,6.41.13804.0,,AWS_EC2_V2,629948353967,i-0d568504503e9b668,us-east-1a,,,,yes,,,,,,,,,,,,,,,CS-GRP-BR-Linux
LOFT-W3312,2023-10-02T21:53:01Z,2023-01-04T19:34:31Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-10-02T17:37:28Z,,,"General-Prevention-Windows-Workstation
15 Sep 23 22:45 UTC","General-Response-Windows
04 Jan 23 19:36 UTC","General-Sensor-Windows
30 Aug 23 01:28 UTC",No policy,No policy,a8f953dbb4b0482eb4313428d4846bea,192.168.1.103,192.168.1.103,192.168.1.1,138.94.194.61,,00-d7-6d-12-ea-fd,00-d7-6d-12-ea-fd,normal,526017,9QBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W3446,2023-09-20T18:58:12Z,2022-12-20T15:03:59Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-20T18:57:47Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:27 UTC","General-Response-Windows
20 Dec 22 15:08 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,729dd911dae243a48d38fe882eb0d780,192.168.0.3,192.168.0.3,192.168.0.1,189.4.73.239,,00-d7-6d-12-dc-2a,00-d7-6d-12-dc-2a,normal,526017,13CPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-M3801,2023-10-04T20:07:09Z,2022-11-09T18:30:25Z,Mac,Monterey (12),21G816,,21.6.0,"MacBookPro18,1",Apple Inc.,Workstation,Other,,,,"General-Prevention-Mac
13 Sep 23 18:52 UTC","General-Response-Mac
09 Nov 22 18:30 UTC","General-Sensor-Mac
19 Sep 23 15:05 UTC",No policy,No policy,4c7bb07675b741dfbccfef3c58dc01ca,192.168.1.106,,,189.62.46.203,,b0-f1-d8-03-d5-57,,normal,4294967295,YN7VTXKXFM,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
CP-CWB-W0204,2023-08-28T20:10:22Z,2022-12-16T12:03:17Z,Windows,Windows 10,19045,Windows 10 Home,10.0.19045.3324,Aspire A315-51,Acer,Workstation,Laptop,2023-08-28T10:58:59Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:24 UTC","General-Response-Windows
16 Dec 22 12:04 UTC","General-Sensor-Windows
06 Jul 23 11:55 UTC",No policy,No policy,70f5369b33714c05a3fc0fd509dc0f5f,10.111.100.20,10.111.100.20,10.111.100.1,200.170.190.57,,d8-c4-97-40-b6-94,d8-c4-97-40-b6-94,normal,526057,NXGNPAA01381220E1B7600,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,TESTE-CS-GRP-BR-CP-Windows"
CPCWB1060,2023-10-04T20:02:15Z,2023-01-11T18:03:50Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-22T13:37:04Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
05 Jul 23 19:36 UTC","General-Sensor-Windows
29 Aug 23 15:09 UTC",No policy,No policy,d2b4e95b01944574a062649b53fb2869,10.111.100.150,10.111.100.150,10.111.100.1,200.170.190.57,,70-69-79-a1-38-59,70-69-79-a1-38-59,normal,526060,NXHQMAL00T13802DA19Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W0952,2023-10-04T19:57:41Z,2022-12-15T18:29:12Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-22T10:37:52Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
15 Dec 22 18:59 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,26066b95bbd3445583fe87174da020fb,192.168.137.1,10.111.141.10,10.111.140.1,200.163.205.91,,ea-f3-bc-6d-65-15,d8-f3-bc-6d-65-15,normal,526060,NXHQMAL00T138028A89Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-W3475,2023-10-04T19:46:44Z,2022-12-21T20:01:02Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.1105,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-02T11:20:58Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:15 UTC","General-Response-Windows
21 Dec 22 20:02 UTC","General-Sensor-Windows
29 Aug 23 15:01 UTC",No policy,No policy,99311d38e1c94e2ca6defe0375a17534,10.111.130.47,10.111.130.47,10.111.130.1,200.170.190.57,,00-d7-6d-10-97-d0,00-d7-6d-10-97-d0,normal,526017,CFZFKH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W3635,2023-10-04T19:33:52Z,2021-12-07T20:37:15Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-28T21:56:48Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
30 Jun 23 15:57 UTC","General-Sensor-Windows
29 Aug 23 14:37 UTC",No policy,No policy,9f261ba6c9aa403298c750bf3c9e5b49,192.168.15.8,192.168.15.8,192.168.15.1,138.94.127.22,,00-d7-6d-25-a7-51,00-d7-6d-25-a7-51,normal,526017,C7GRQK3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W1362,2023-10-04T19:30:01Z,2023-03-09T19:54:59Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.1992,Aspire A515-54,Acer,Workstation,Laptop,2023-09-27T17:09:43Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:18 UTC","General-Response-Windows
09 Mar 23 19:56 UTC","General-Sensor-Windows
29 Aug 23 14:52 UTC",No policy,No policy,1ee8635c3e654d3c8e459544199ff89c,10.111.140.22,10.111.140.22,10.111.140.1,200.170.190.57,,f4-b3-01-f5-d0-48,f4-b3-01-f5-d0-48,normal,526060,NXAX0AL00621401B369Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-W0920,2023-08-21T16:54:53Z,2023-06-30T22:12:56Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3400,Dell Inc.,Workstation,Laptop,2023-08-21T03:16:50Z,,,"General-Prevention-Windows-Workstation
30 Jun 23 22:15 UTC","General-Response-Windows
30 Jun 23 22:15 UTC","Teste de estabilidade de versao
18 Aug 23 15:46 UTC",No policy,No policy,ef6b8f940bf44b98bace9bf44b388fca,10.111.110.194,10.111.110.194,10.111.110.1,200.170.190.57,,40-23-43-e9-4b-ed,40-23-43-e9-4b-ed,normal,526060,829J813,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF-Prevention-Policy-Homol-Win,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W1056,2023-10-04T19:46:35Z,2023-08-04T14:28:31Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Aspire A515-54,Acer,Workstation,Laptop,2023-09-26T11:43:18Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
04 Aug 23 14:29 UTC","General-Sensor-Windows
29 Aug 23 14:46 UTC",No policy,No policy,c91e190d4f9c495299b928e15a3fac48,10.111.140.137,10.111.140.137,10.111.140.1,200.170.190.57,,70-cd-0d-35-da-22,70-cd-0d-35-da-22,normal,526060,NXHQMAL00T144008A89Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-M3153,2023-09-03T02:47:04Z,2023-07-09T14:31:15Z,Mac,Monterey (12),21G403,,21.6.0,"MacBookPro18,1",Apple Inc.,Workstation,Invalid Chassis Type,,,,"General-Prevention-Mac
10 Jul 23 19:04 UTC","General-Response-Mac
09 Jul 23 14:32 UTC","General-Sensor-Mac
09 Jul 23 14:35 UTC",No policy,No policy,3be57994880041d0a8d8d5691b8fbe8d,100.127.100.1,,,217.123.13.34,,bc-d0-74-4a-29-ca,,normal,4294967295,WQL03KW9RM,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
